r                 r.lo     r.hi     kT              kT.lo            kT.hi
4.4530756652004   4.1984   4.7232   6.17044974446   6.06015653049    6.27905405517
4.9786899481691   4.7232   5.248    6.00348514725   5.8656853266608  6.14398546526
5.50414883519696  5.248    5.7728   6.518507141095  6.36284906592    6.67326471853
6.02949295380632  5.7728   6.2976   6.31082974907   6.1361551205868  6.4812419301204
6.80218543704889  6.2976   7.3472   6.784898246795  6.6391168784692  6.97227053668
7.85448718631586  7.3472   8.3968   6.96747063797   6.8104707947868  7.15270455821
8.9061513304008   8.3968   9.4464   7.11118418705   6.9245973925     7.31827980047
9.95737989633819  9.4464   10.496   7.65805359254   7.4898674803124  7.82414076358
11.0082976703939  10.496   11.5456  7.517015791065  7.3550514536968  7.6770750421016
12.0589859076126  11.5456  12.5952  7.66742610653   7.4983873901312  7.83666198867
13.1094997982379  12.5952  13.6448  7.71005619348   7.4985538407108  7.91785299261
14.1598781463684  13.6448  14.6944  7.71575926572   7.46267880826    7.97058002448
15.2101490328004  14.6944  15.744   7.39432169857   7.10814183699    7.6714023986932
16.2603332807172  15.744   16.7936  8.09201896321   7.7397173894368  8.48470774914
17.3104466585932  16.7936  17.8432  8.517301534245  7.94505450156    9.3067698686
22.8995684710433  17.8432  29.3888  8.72701387635   8.10651084076    9.43628130078
44.0832           29.3888  66.1248  8.336453852115  7.3174420922964  9.7824990504264
