r                 r.lo     r.hi     kT             kT.lo            kT.hi
4.4530756652004   4.1984   4.7232   6.33597477527  6.2783025157308  6.395093998184
4.9786899481691   4.7232   5.248    6.22751055861  6.17262191639    6.28190967446
5.50414883519696  5.248    5.7728   6.22870815551  6.16851328927    6.29030105805
6.02949295380632  5.7728   6.2976   6.22212889335  6.1549982731     6.2887793895652
6.80218543704889  6.2976   7.3472   6.04950273604  6.0030721491104  6.09891269561
7.85448718631586  7.3472   8.3968   6.04094732515  5.9951755854992  6.08493316264
8.9061513304008   8.3968   9.4464   6.34580540118  6.2951769067876  6.39520993847
9.95737989633819  9.4464   10.496   6.72851843048  6.66853584855    6.78502460075
11.0082976703939  10.496   11.5456  6.81143851581  6.735975234508   6.9029208289676
12.0589859076126  11.5456  12.5952  6.71881520251  6.64565650751    6.78873272557
13.1094997982379  12.5952  13.6448  6.48713464689  6.40866982495    6.5641646311436
14.1598781463684  13.6448  14.6944  6.32618150703  6.24845014118    6.40852937589
15.2101490328004  14.6944  15.744   6.3913722131   6.28933946368    6.486550616
16.2603332807172  15.744   16.7936  6.06437795888  5.9028394525784  6.2156083119516
17.3104466585932  16.7936  17.8432  6.46094893161  6.1191198649884  6.8079610745652
19.8316080316247  17.8432  22.0416  5.69765119699  5.1814479637364  6.35198225953
25.4514473867401  22.0416  29.3888  6.32067855359  5.84222519313    6.8655280286552
44.0832           29.3888  66.1248  6.20970669043  5.55981766904    7.08454430497
