r                 r.lo     r.hi     kT             kT.lo            kT.hi
4.4530756652004   4.1984   4.7232   5.8250537041   5.71948734849    5.92993473714
4.9786899481691   4.7232   5.248    6.08366518163  5.86987339246    6.296804305574
5.50414883519696  5.248    5.7728   5.96794934078  5.88381735528    6.04621861891
8.33094172828018  7.3472   9.4464   7.10597158047  6.93053238038    7.27557566572
9.95737989633819  9.4464   10.496   8.18951899991  8.0009993702208  8.3799981879248
11.0082976703939  10.496   11.5456  8.27188343467  8.08650494975    8.45869279213
12.0589859076126  11.5456  12.5952  8.7088386564   8.4358182524316  9.00581210819
13.1094997982379  12.5952  13.6448  8.20028284109  7.9627722334944  8.4498374978488
14.1598781463684  13.6448  14.6944  8.41651755984  8.1400628064348  8.7293511552348
15.2101490328004  14.6944  15.744   7.76855443438  7.47762962127    8.0814053432
17.2466878907227  15.744   18.8928  8.2186946397   7.8231164082412  8.6925192766072
25.4514473867401  22.0416  29.3888  6.88904016315  6.59287750714    7.278371846462
34.2369158984859  29.3888  39.8848  6.3200838567   6.0436381203756  6.58702414919
45.7510033114029  39.8848  52.48    5.98069078941  5.5152608455596  6.52125174232
58.9086538973689  52.48    66.1248  5.51300781732  5.21293755999    5.87056210149
