r                 r.lo     r.hi     kT              kT.lo            kT.hi
4.4530756652004   4.1984   4.7232   6.699822832405  6.67358050902    6.72568933671
4.9786899481691   4.7232   5.248    6.93917258279   6.89385680902    6.9835320912304
5.50414883519696  5.248    5.7728   6.84054949362   6.78493356029    6.91204710304
6.02949295380632  5.7728   6.2976   6.79584389116   6.7285371413944  6.8852891718992
6.80218543704889  6.2976   7.3472   6.72492799695   6.6706355480396  6.7816368398408
7.85448718631586  7.3472   8.3968   6.72975034187   6.67160592502    6.79535207004
8.9061513304008   8.3968   9.4464   6.618170970925  6.5477275888652  6.68813021137
9.95737989633819  9.4464   10.496   6.43403066126   6.358218628086   6.5106776352976
11.0082976703939  10.496   11.5456  6.32862276565   6.2045950376572  6.4488391254644
12.0589859076126  11.5456  12.5952  5.64860493946   5.397810392954   5.95642780604
14.5436842209943  12.5952  16.7936  7.735635760525  7.3228500359428  8.20371121425
22.2158446087472  16.7936  29.3888  6.898305475015  6.5660488304856  7.27305158987
44.0832           29.3888  66.1248  7.04224386729   6.4800174619     7.7131912709
