r                 r.lo     r.hi     kT              kT.lo            kT.hi
4.4530756652004   4.1984   4.7232   5.917234019695  5.7658182829     6.07439025851
4.9786899481691   4.7232   5.248    6.29258034317   6.19058159388    6.3921599534668
5.50414883519696  5.248    5.7728   6.25293172563   6.13168173696    6.3730687902
6.02949295380632  5.7728   6.2976   6.786340479775  6.67059525033    6.93624250854
6.80218543704889  6.2976   7.3472   7.52976029037   7.39530973526    7.67129715156
7.85448718631586  7.3472   8.3968   7.89442228557   7.73084761571    8.06171235826
8.9061513304008   8.3968   9.4464   8.42160480188   8.232894236694   8.63721232981
9.95737989633819  9.4464   10.496   8.49064949797   8.26209143519    8.7805579849604
11.0082976703939  10.496   11.5456  8.690584369715  8.4056361224052  9.0215077284884
12.0589859076126  11.5456  12.5952  8.82519789412   8.49590470654    9.19249617529
13.1094997982379  12.5952  13.6448  8.321225671695  8.02186833672    8.65522130476
15.6034257571855  13.6448  17.8432  8.36806666887   7.50487619035    9.39085292604
22.8995684710433  17.8432  29.3888  6.98135169464   6.48036591914    7.5692089205
44.0832           29.3888  66.1248  6.820934146625  6.1658605385236  7.58358065332
